primary,grade,disposition,wkt,radius_m
北京密云司马台长城景区,4A,CONSTRUCTED,"POLYGON ((117.29442666762486 40.656775, 117.29436178341724 40.655454251612525, 117.29416775566479 40.65414622275401, 117.29384645296082 40.65286351045741, 117.293400969626 40.651618467943344, 117.2928355959084 40.65042308565182, 117.29215577666595 40.649288875767795, 117.2913680589296 40.648226761352454, 117.29048002885177 40.64724697114823, 117.28950023864755 40.646358941070396, 117.2884381242322 40.64557122333405, 117.28730391434817 40.64489140409161, 117.28610853205666 40.644326030373996, 117.28486348954259 40.64388054703918, 117.283580777246 40.64355924433521, 117.28227274838748 40.64336521658275, 117.280952 40.64330033237514, 117.27963125161251 40.64336521658275, 117.278323222754 40.64355924433521, 117.27704051045741 40.64388054703918, 117.27579546794334 40.644326030373996, 117.27460008565183 40.64489140409161, 117.2734658757678 40.64557122333405, 117.27240376135245 40.646358941070396, 117.27142397114822 40.64724697114823, 117.27053594107039 40.648226761352454, 117.26974822333405 40.649288875767795, 117.2690684040916 40.65042308565182, 117.26850303037399 40.651618467943344, 117.26805754703918 40.65286351045741, 117.26773624433521 40.65414622275401, 117.26754221658275 40.655454251612525, 117.26747733237514 40.656775, 117.26754221658275 40.65809574838748, 117.26773624433521 40.659403777246, 117.26805754703918 40.6606864895426, 117.26850303037399 40.66193153205666, 117.2690684040916 40.66312691434818, 117.26974822333405 40.66426112423221, 117.27053594107039 40.66532323864755, 117.27142397114822 40.66630302885178, 117.27240376135245 40.66719105892961, 117.2734658757678 40.667978776665954, 117.27460008565183 40.6686585959084, 117.27579546794334 40.66922396962601, 117.27704051045741 40.669669452960825, 117.278323222754 40.6699907556648, 117.27963125161251 40.670184783417255, 117.280952 40.670249667624866, 117.28227274838748 40.670184783417255, 117.283580777246 40.6699907556648, 117.28486348954259 40.669669452960825, 117.28610853205666 40.66922396962601, 117.28730391434817 40.6686585959084, 117.2884381242322 40.667978776665954, 117.28950023864755 40.66719105892961, 117.29048002885177 40.66630302885178, 117.2913680589296 40.66532323864755, 117.29215577666595 40.66426112423221, 117.2928355959084 40.66312691434818, 117.293400969626 40.66193153205666, 117.29384645296082 40.6606864895426, 117.29416775566479 40.659403777246, 117.29436178341724 40.65809574838748, 117.29442666762486 40.656775))",1500.0
北京市东城区地坛公园景区,4A,CONSTRUCTED,"POLYGON ((116.41268955587495 39.952374, 116.41266792780574 39.951933750537506, 116.41260325188826 39.951497740918, 116.41249615098694 39.95107017015247, 116.412347656542 39.95065515598111, 116.41215919863613 39.95025669521727, 116.41193259222199 39.94987862525593, 116.4116700196432 39.94952458711748, 116.41137400961726 39.94919799038274, 116.41104741288251 39.948901980356794, 116.41069337474407 39.94863940777802, 116.41031530478273 39.948412801363865, 116.40991684401888 39.948224343457994, 116.40950182984753 39.94807584901306, 116.409074259082 39.947968748111734, 116.4086382494625 39.94790407219425, 116.408198 39.94788244412504, 116.4077577505375 39.94790407219425, 116.407321740918 39.947968748111734, 116.40689417015247 39.94807584901306, 116.40647915598112 39.948224343457994, 116.40608069521727 39.948412801363865, 116.40570262525593 39.94863940777802, 116.40534858711749 39.948901980356794, 116.40502199038274 39.94919799038274, 116.4047259803568 39.94952458711748, 116.40446340777801 39.94987862525593, 116.40423680136387 39.95025669521727, 116.404048343458 39.95065515598111, 116.40389984901306 39.95107017015247, 116.40379274811174 39.951497740918, 116.40372807219426 39.951933750537506, 116.40370644412505 39.952374, 116.40372807219426 39.95281424946249, 116.40379274811174 39.953250259082, 116.40389984901306 39.95367782984753, 116.404048343458 39.95409284401889, 116.40423680136387 39.95449130478273, 116.40446340777801 39.95486937474407, 116.4047259803568 39.95522341288252, 116.40502199038274 39.955550009617255, 116.40534858711749 39.955846019643204, 116.40570262525593 39.95610859222198, 116.40608069521727 39.95633519863613, 116.40647915598112 39.956523656542004, 116.40689417015247 39.95667215098694, 116.407321740918 39.956779251888264, 116.4077577505375 39.95684392780575, 116.408198 39.956865555874955, 116.4086382494625 39.95684392780575, 116.409074259082 39.956779251888264, 116.40950182984753 39.95667215098694, 116.40991684401888 39.956523656542004, 116.41031530478273 39.95633519863613, 116.41069337474407 39.95610859222198, 116.41104741288251 39.955846019643204, 116.41137400961726 39.955550009617255, 116.4116700196432 39.95522341288252, 116.41193259222199 39.95486937474407, 116.41215919863613 39.95449130478273, 116.412347656542 39.95409284401889, 116.41249615098694 39.95367782984753, 116.41260325188826 39.953250259082, 116.41266792780574 39.95281424946249, 116.41268955587495 39.952374))",500.0
北京市东城区青年湖公园景区,3A,NOT_FOUND,,
北京市丰台区丰台花园景区,2A,CONSTRUCTED,"POLYGON ((116.28536224469997 39.863286, 116.28534494224459 39.86293380043001, 116.28529320151061 39.862584992734405, 116.28520752078956 39.86224293612198, 116.28508872523359 39.861910924784894, 116.2849379589089 39.86159215617382, 116.28475667377758 39.86128970020474, 116.28454661571456 39.86100646969399, 116.2843098076938 39.8607451923062, 116.28404853030601 39.86050838428544, 116.28376529979525 39.86029832622241, 116.28346284382617 39.860117041091094, 116.2831440752151 39.8599662747664, 116.28281206387803 39.85984747921045, 116.2824700072656 39.85976179848939, 116.28212119956999 39.8597100577554, 116.281769 39.85969275530004, 116.28141680043001 39.8597100577554, 116.28106799273439 39.85976179848939, 116.28072593612197 39.85984747921045, 116.28039392478489 39.8599662747664, 116.28007515617382 39.860117041091094, 116.27977270020475 39.86029832622241, 116.27948946969398 39.86050838428544, 116.27922819230619 39.8607451923062, 116.27899138428543 39.86100646969399, 116.27878132622241 39.86128970020474, 116.2786000410911 39.86159215617382, 116.2784492747664 39.861910924784894, 116.27833047921044 39.86224293612198, 116.27824479848938 39.862584992734405, 116.2781930577554 39.86293380043001, 116.27817575530003 39.863286, 116.2781930577554 39.86363819957, 116.27824479848938 39.8639870072656, 116.27833047921044 39.864329063878024, 116.2784492747664 39.86466107521511, 116.2786000410911 39.864979843826184, 116.27878132622241 39.86528229979526, 116.27899138428543 39.865565530306014, 116.27922819230619 39.86582680769381, 116.27948946969398 39.866063615714566, 116.27977270020475 39.86627367377759, 116.28007515617382 39.86645495890891, 116.28039392478489 39.866605725233605, 116.28072593612197 39.86672452078955, 116.28106799273439 39.86681020151062, 116.28141680043001 39.866861942244604, 116.281769 39.866879244699966, 116.28212119956999 39.866861942244604, 116.2824700072656 39.86681020151062, 116.28281206387803 39.86672452078955, 116.2831440752151 39.866605725233605, 116.28346284382617 39.86645495890891, 116.28376529979525 39.86627367377759, 116.28404853030601 39.866063615714566, 116.2843098076938 39.86582680769381, 116.28454661571456 39.865565530306014, 116.28475667377758 39.86528229979526, 116.2849379589089 39.864979843826184, 116.28508872523359 39.86466107521511, 116.28520752078956 39.864329063878024, 116.28529320151061 39.8639870072656, 116.28534494224459 39.86363819957, 116.28536224469997 39.863286))",400.0
北京市京西十八潭景区,3A,CONSTRUCTED,"POLYGON ((115.90745055587495 40.002275, 115.90742892780574 40.001834750537505, 115.90736425188825 40.001398740918, 115.90725715098694 40.00097117015247, 115.907108656542 40.00055615598111, 115.90692019863613 40.00015769521727, 115.90669359222198 39.999779625255925, 115.9064310196432 39.99942558711748, 115.90613500961726 39.99909899038274, 115.90580841288251 39.99880298035679, 115.90545437474407 39.998540407778016, 115.90507630478272 39.998313801363864, 115.90467784401888 39.99812534345799, 115.90426282984753 39.99797684901306, 115.903835259082 39.99786974811173, 115.9033992494625 39.99780507219425, 115.902959 39.99778344412504, 115.9025187505375 39.99780507219425, 115.90208274091799 39.99786974811173, 115.90165517015247 39.99797684901306, 115.90124015598111 39.99812534345799, 115.90084169521727 39.998313801363864, 115.90046362525592 39.998540407778016, 115.90010958711748 39.99880298035679, 115.89978299038273 39.99909899038274, 115.8994869803568 39.99942558711748, 115.89922440777801 39.999779625255925, 115.89899780136386 40.00015769521727, 115.898809343458 40.00055615598111, 115.89866084901305 40.00097117015247, 115.89855374811174 40.001398740918, 115.89848907219425 40.001834750537505, 115.89846744412505 40.002275, 115.89848907219425 40.00271524946249, 115.89855374811174 40.003151259081996, 115.89866084901305 40.00357882984753, 115.898809343458 40.003993844018886, 115.89899780136386 40.004392304782726, 115.89922440777801 40.00477037474407, 115.8994869803568 40.005124412882516, 115.89978299038273 40.00545100961725, 115.90010958711748 40.0057470196432, 115.90046362525592 40.00600959222198, 115.90084169521727 40.00623619863613, 115.90124015598111 40.006424656542, 115.90165517015247 40.00657315098694, 115.90208274091799 40.00668025188826, 115.9025187505375 40.00674492780575, 115.902959 40.006766555874954, 115.9033992494625 40.00674492780575, 115.903835259082 40.00668025188826, 115.90426282984753 40.00657315098694, 115.90467784401888 40.006424656542, 115.90507630478272 40.00623619863613, 115.90545437474407 40.00600959222198, 115.90580841288251 40.0057470196432, 115.90613500961726 40.00545100961725, 115.9064310196432 40.005124412882516, 115.90669359222198 40.00477037474407, 115.90692019863613 40.004392304782726, 115.907108656542 40.003993844018886, 115.90725715098694 40.00357882984753, 115.90736425188825 40.003151259081996, 115.90742892780574 40.00271524946249, 115.90745055587495 40.002275))",500.0
北京市劳动人民文化宫景区,3A,CONSTRUCTED,"POLYGON ((116.39735424469997 39.909296, 116.39733694224459 39.90894380043, 116.39728520151061 39.9085949927344, 116.39719952078956 39.908252936121976, 116.3970807252336 39.90792092478489, 116.3969299589089 39.907602156173816, 116.39674867377758 39.90729970020474, 116.39653861571456 39.907016469693986, 116.3963018076938 39.90675519230619, 116.39604053030601 39.906518384285434, 116.39575729979525 39.90630832622241, 116.39545484382617 39.90612704109109, 116.3951360752151 39.905976274766395, 116.39480406387803 39.90585747921045, 116.3944620072656 39.90577179848938, 116.39411319956999 39.905720057755396, 116.393761 39.905702755300034, 116.39340880043001 39.905720057755396, 116.3930599927344 39.90577179848938, 116.39271793612197 39.90585747921045, 116.39238592478489 39.905976274766395, 116.39206715617382 39.90612704109109, 116.39176470020475 39.90630832622241, 116.39148146969399 39.906518384285434, 116.39122019230619 39.90675519230619, 116.39098338428543 39.907016469693986, 116.39077332622242 39.90729970020474, 116.3905920410911 39.907602156173816, 116.3904412747664 39.90792092478489, 116.39032247921044 39.908252936121976, 116.39023679848938 39.9085949927344, 116.3901850577554 39.90894380043, 116.39016775530003 39.909296, 116.3901850577554 39.90964819956999, 116.39023679848938 39.909997007265595, 116.39032247921044 39.91033906387802, 116.3904412747664 39.910671075215106, 116.3905920410911 39.91098984382618, 116.39077332622242 39.91129229979526, 116.39098338428543 39.91157553030601, 116.39122019230619 39.9118368076938, 116.39148146969399 39.91207361571456, 116.39176470020475 39.91228367377759, 116.39206715617382 39.912464958908906, 116.39238592478489 39.9126157252336, 116.39271793612197 39.91273452078955, 116.3930599927344 39.91282020151061, 116.39340880043001 39.9128719422446, 116.393761 39.91288924469996, 116.39411319956999 39.9128719422446, 116.3944620072656 39.91282020151061, 116.39480406387803 39.91273452078955, 116.3951360752151 39.9126157252336, 116.39545484382617 39.912464958908906, 116.39575729979525 39.91228367377759, 116.39604053030601 39.91207361571456, 116.3963018076938 39.9118368076938, 116.39653861571456 39.91157553030601, 116.39674867377758 39.91129229979526, 116.3969299589089 39.91098984382618, 116.3970807252336 39.910671075215106, 116.39719952078956 39.91033906387802, 116.39728520151061 39.909997007265595, 116.39733694224459 39.90964819956999, 116.39735424469997 39.909296))",400.0
北京市宣南文化博物馆景区,3A,CONSTRUCTED,"POLYGON ((116.36059162234999 39.891448, 116.3605829711223 39.891271900215, 116.3605571007553 39.891097496367195, 116.36051426039478 39.89092646806098, 116.3604548626168 39.89076046239244, 116.36037947945445 39.89060107808691, 116.3602888368888 39.89044985010237, 116.36018380785728 39.89030823484699, 116.3600654038469 39.890177596153094, 116.35993476515301 39.890059192142715, 116.35979314989763 39.889954163111206, 116.3596419219131 39.889863520545546, 116.35948253760756 39.8897881373832, 116.35931653193902 39.88972873960522, 116.3591455036328 39.88968589924469, 116.358971099785 39.8896600288777, 116.358795 39.88965137765001, 116.358618900215 39.8896600288777, 116.3584444963672 39.88968589924469, 116.35827346806099 39.88972873960522, 116.35810746239244 39.8897881373832, 116.3579480780869 39.889863520545546, 116.35779685010237 39.889954163111206, 116.35765523484699 39.890059192142715, 116.3575245961531 39.890177596153094, 116.35740619214272 39.89030823484699, 116.3573011631112 39.89044985010237, 116.35721052054555 39.89060107808691, 116.3571351373832 39.89076046239244, 116.35707573960522 39.89092646806098, 116.3570328992447 39.891097496367195, 116.3570070288777 39.891271900215, 116.35699837765002 39.891448, 116.3570070288777 39.89162409978499, 116.3570328992447 39.8917985036328, 116.35707573960522 39.89196953193901, 116.3571351373832 39.89213553760755, 116.35721052054555 39.892294921913084, 116.3573011631112 39.89244614989762, 116.35740619214272 39.892587765153, 116.3575245961531 39.8927184038469, 116.35765523484699 39.89283680785728, 116.35779685010237 39.89294183688879, 116.3579480780869 39.89303247945445, 116.35810746239244 39.893107862616795, 116.35827346806099 39.893167260394776, 116.3584444963672 39.893210100755304, 116.358618900215 39.893235971122294, 116.358795 39.89324462234998, 116.358971099785 39.893235971122294, 116.3591455036328 39.893210100755304, 116.35931653193902 39.893167260394776, 116.35948253760756 39.893107862616795, 116.3596419219131 39.89303247945445, 116.35979314989763 39.89294183688879, 116.35993476515301 39.89283680785728, 116.3600654038469 39.8927184038469, 116.36018380785728 39.892587765153, 116.3602888368888 39.89244614989762, 116.36037947945445 39.892294921913084, 116.3604548626168 39.89213553760755, 116.36051426039478 39.89196953193901, 116.3605571007553 39.8917985036328, 116.3605829711223 39.89162409978499, 116.36059162234999 39.891448))",200.0
北京市密云云岫谷游猎自然风景区,2A,CONSTRUCTED,"POLYGON ((117.38620611174991 40.598909, 117.3861628556115 40.598028501075014, 117.38603350377653 40.597156481836, 117.38581930197388 40.59630134030493, 117.38552231308401 40.59547131196222, 117.38514539727227 40.59467439043455, 117.38469218444396 40.59391825051186, 117.38416703928641 40.59321017423496, 117.38357501923451 40.59255698076548, 117.38292182576504 40.59196496071359, 117.38221374948814 40.59143981555603, 117.38145760956546 40.59098660272774, 117.38066068803778 40.590609686916, 117.37983065969506 40.59031269802612, 117.378975518164 40.59009849622347, 117.37810349892499 40.5899691443885, 117.377223 40.589925888250086, 117.37634250107502 40.5899691443885, 117.375470481836 40.59009849622347, 117.37461534030494 40.59031269802612, 117.37378531196222 40.590609686916, 117.37298839043454 40.59098660272774, 117.37223225051186 40.59143981555603, 117.37152417423496 40.59196496071359, 117.37087098076549 40.59255698076548, 117.37027896071359 40.59321017423496, 117.36975381555604 40.59391825051186, 117.36930060272773 40.59467439043455, 117.36892368691599 40.59547131196222, 117.36862669802612 40.59630134030493, 117.36841249622347 40.597156481836, 117.3682831443885 40.598028501075014, 117.36823988825009 40.598909, 117.3682831443885 40.599789498924984, 117.36841249622347 40.600661518163996, 117.36862669802612 40.601516659695065, 117.36892368691599 40.60234668803778, 117.36930060272773 40.60314360956545, 117.36975381555604 40.603899749488136, 117.37027896071359 40.60460782576504, 117.37087098076549 40.60526101923452, 117.37152417423496 40.60585303928641, 117.37223225051186 40.60637818444397, 117.37298839043454 40.60683139727226, 117.37378531196222 40.607208313084, 117.37461534030494 40.60750530197388, 117.375470481836 40.60771950377653, 117.37634250107502 40.6078488556115, 117.377223 40.60789211174991, 117.37810349892499 40.6078488556115, 117.378975518164 40.60771950377653, 117.37983065969506 40.60750530197388, 117.38066068803778 40.607208313084, 117.38145760956546 40.60683139727226, 117.38221374948814 40.60637818444397, 117.38292182576504 40.60585303928641, 117.38357501923451 40.60526101923452, 117.38416703928641 40.60460782576504, 117.38469218444396 40.603899749488136, 117.38514539727227 40.60314360956545, 117.38552231308401 40.60234668803778, 117.38581930197388 40.601516659695065, 117.38603350377653 40.600661518163996, 117.3861628556115 40.599789498924984, 117.38620611174991 40.598909))",1000.0
北京市密云区云龙涧景区,3A,NOT_FOUND,,
北京市平谷区丫髻山景区,4A,CONSTRUCTED,"POLYGON ((116.98395111174992 40.271879, 116.9839078556115 40.27099850107501, 116.98377850377653 40.270126481836, 116.98356430197389 40.26927134030493, 116.98326731308401 40.26844131196222, 116.98289039727227 40.26764439043455, 116.98243718444397 40.26688825051186, 116.98191203928641 40.26618017423496, 116.98132001923452 40.26552698076548, 116.98066682576504 40.26493496071359, 116.97995874948815 40.26440981555603, 116.97920260956546 40.26395660272774, 116.97840568803778 40.263579686915996, 116.97757565969506 40.26328269802612, 116.976720518164 40.26306849622347, 116.97584849892499 40.2629391443885, 116.974968 40.262895888250085, 116.97408750107502 40.2629391443885, 116.97321548183601 40.26306849622347, 116.97236034030495 40.26328269802612, 116.97153031196223 40.263579686915996, 116.97073339043455 40.26395660272774, 116.96997725051186 40.26440981555603, 116.96926917423497 40.26493496071359, 116.96861598076549 40.26552698076548, 116.9680239607136 40.26618017423496, 116.96749881555604 40.26688825051186, 116.96704560272774 40.26764439043455, 116.966668686916 40.26844131196222, 116.96637169802612 40.26927134030493, 116.96615749622347 40.270126481836, 116.9660281443885 40.27099850107501, 116.96598488825009 40.271879, 116.9660281443885 40.272759498924984, 116.96615749622347 40.273631518163995, 116.96637169802612 40.274486659695064, 116.966668686916 40.275316688037776, 116.96704560272774 40.27611360956545, 116.96749881555604 40.276869749488135, 116.9680239607136 40.277577825765036, 116.96861598076549 40.27823101923452, 116.96926917423497 40.27882303928641, 116.96997725051186 40.27934818444397, 116.97073339043455 40.27980139727226, 116.97153031196223 40.280178313084, 116.97236034030495 40.28047530197388, 116.97321548183601 40.28068950377653, 116.97408750107502 40.2808188556115, 116.974968 40.28086211174991, 116.97584849892499 40.2808188556115, 116.976720518164 40.28068950377653, 116.97757565969506 40.28047530197388, 116.97840568803778 40.280178313084, 116.97920260956546 40.27980139727226, 116.97995874948815 40.27934818444397, 116.98066682576504 40.27882303928641, 116.98132001923452 40.27823101923452, 116.98191203928641 40.277577825765036, 116.98243718444397 40.276869749488135, 116.98289039727227 40.27611360956545, 116.98326731308401 40.275316688037776, 116.98356430197389 40.274486659695064, 116.98377850377653 40.273631518163995, 116.9839078556115 40.272759498924984, 116.98395111174992 40.271879))",1000.0
北京市平谷区湖洞水景区,2A,NOT_FOUND,,
北京市延庆区双秀湖星谷景区,1A,NOT_FOUND,,
北京市怀柔区九谷口自然风景区,3A,CONSTRUCTED,"POLYGON ((116.65159511174991 40.450625, 116.6515518556115 40.44974450107502, 116.65142250377653 40.448872481836005, 116.65120830197388 40.448017340304936, 116.65091131308401 40.447187311962224, 116.65053439727227 40.44639039043455, 116.65008118444396 40.445634250511866, 116.64955603928641 40.444926174234965, 116.64896401923451 40.44427298076548, 116.64831082576504 40.44368096071359, 116.64760274948814 40.44315581555603, 116.64684660956546 40.44270260272774, 116.64604968803778 40.442325686916, 116.64521965969506 40.44202869802612, 116.644364518164 40.44181449622347, 116.64349249892499 40.4416851443885, 116.642612 40.44164188825009, 116.64173150107501 40.4416851443885, 116.640859481836 40.44181449622347, 116.64000434030494 40.44202869802612, 116.63917431196222 40.442325686916, 116.63837739043454 40.44270260272774, 116.63762125051186 40.44315581555603, 116.63691317423496 40.44368096071359, 116.63625998076549 40.44427298076548, 116.63566796071359 40.444926174234965, 116.63514281555604 40.445634250511866, 116.63468960272773 40.44639039043455, 116.63431268691599 40.447187311962224, 116.63401569802612 40.448017340304936, 116.63380149622347 40.448872481836005, 116.6336721443885 40.44974450107502, 116.63362888825009 40.450625, 116.6336721443885 40.45150549892499, 116.63380149622347 40.452377518164, 116.63401569802612 40.45323265969507, 116.63431268691599 40.45406268803778, 116.63468960272773 40.45485960956545, 116.63514281555604 40.45561574948814, 116.63566796071359 40.45632382576504, 116.63625998076549 40.45697701923452, 116.63691317423496 40.45756903928641, 116.63762125051186 40.45809418444397, 116.63837739043454 40.45854739727226, 116.63917431196222 40.458924313084005, 116.64000434030494 40.459221301973884, 116.640859481836 40.45943550377653, 116.64173150107501 40.459564855611504, 116.642612 40.459608111749915, 116.64349249892499 40.459564855611504, 116.644364518164 40.45943550377653, 116.64521965969506 40.459221301973884, 116.64604968803778 40.458924313084005, 116.64684660956546 40.45854739727226, 116.64760274948814 40.45809418444397, 116.64831082576504 40.45756903928641, 116.64896401923451 40.45697701923452, 116.64955603928641 40.45632382576504, 116.65008118444396 40.45561574948814, 116.65053439727227 40.45485960956545, 116.65091131308401 40.45406268803778, 116.65120830197388 40.45323265969507, 116.65142250377653 40.452377518164, 116.6515518556115 40.45150549892499, 116.65159511174991 40.450625))",1000.0
北京市怀柔区生存岛新概念旅游基地景区,3A,CONSTRUCTED,"POLYGON ((116.63901624469997 40.363892, 116.6389989422446 40.363539800430004, 116.63894720151062 40.3631909927344, 116.63886152078956 40.36284893612198, 116.6387427252336 40.36251692478489, 116.6385919589089 40.36219815617382, 116.63841067377759 40.36189570020474, 116.63820061571457 40.36161246969399, 116.63796380769381 40.361351192306195, 116.63770253030602 40.361114384285436, 116.63741929979525 40.36090432622241, 116.63711684382618 40.36072304109109, 116.63679807521511 40.3605722747664, 116.63646606387803 40.36045347921045, 116.63612400726561 40.360367798489385, 116.63577519956999 40.3603160577554, 116.635423 40.360298755300036, 116.63507080043001 40.3603160577554, 116.6347219927344 40.360367798489385, 116.63437993612197 40.36045347921045, 116.6340479247849 40.3605722747664, 116.63372915617383 40.36072304109109, 116.63342670020475 40.36090432622241, 116.63314346969399 40.361114384285436, 116.6328821923062 40.361351192306195, 116.63264538428544 40.36161246969399, 116.63243532622242 40.36189570020474, 116.6322540410911 40.36219815617382, 116.63210327476641 40.36251692478489, 116.63198447921044 40.36284893612198, 116.63189879848939 40.3631909927344, 116.63184705775541 40.363539800430004, 116.63182975530003 40.363892, 116.63184705775541 40.364244199569995, 116.63189879848939 40.3645930072656, 116.63198447921044 40.36493506387802, 116.63210327476641 40.36526707521511, 116.6322540410911 40.36558584382618, 116.63243532622242 40.36588829979526, 116.63264538428544 40.36617153030601, 116.6328821923062 40.366432807693805, 116.63314346969399 40.366669615714564, 116.63342670020475 40.36687967377759, 116.63372915617383 40.36706095890891, 116.6340479247849 40.3672117252336, 116.63437993612197 40.36733052078955, 116.6347219927344 40.367416201510615, 116.63507080043001 40.3674679422446, 116.635423 40.367485244699964, 116.63577519956999 40.3674679422446, 116.63612400726561 40.367416201510615, 116.63646606387803 40.36733052078955, 116.63679807521511 40.3672117252336, 116.63711684382618 40.36706095890891, 116.63741929979525 40.36687967377759, 116.63770253030602 40.366669615714564, 116.63796380769381 40.366432807693805, 116.63820061571457 40.36617153030601, 116.63841067377759 40.36588829979526, 116.6385919589089 40.36558584382618, 116.6387427252336 40.36526707521511, 116.63886152078956 40.36493506387802, 116.63894720151062 40.3645930072656, 116.6389989422446 40.364244199569995, 116.63901624469997 40.363892))",400.0
北京市怀柔区红螺寺景区,4A,CONSTRUCTED,"POLYGON ((116.62157993352498 40.38298, 116.62156695668345 40.382715850322505, 116.62152815113296 40.38245424455081, 116.62146389059217 40.38219770209148, 116.62137479392521 40.38194869358867, 116.62126171918169 40.38170961713037, 116.6211257553332 40.381482775153565, 116.62096821178592 40.38127035227049, 116.62079060577037 40.38107439422965, 116.62059464772952 40.38089678821408, 116.62038222484645 40.38073924466681, 116.62015538286964 40.38060328081833, 116.61991630641134 40.3804902060748, 116.61966729790852 40.38040110940784, 116.61941075544921 40.380336848867046, 116.6191491496775 40.38029804331655, 116.618885 40.38028506647503, 116.61862085032251 40.38029804331655, 116.6183592445508 40.380336848867046, 116.61810270209149 40.38040110940784, 116.61785369358867 40.3804902060748, 116.61761461713037 40.38060328081833, 116.61738777515356 40.38073924466681, 116.6171753522705 40.38089678821408, 116.61697939422965 40.38107439422965, 116.61680178821409 40.38127035227049, 116.61664424466682 40.381482775153565, 116.61650828081832 40.38170961713037, 116.6163952060748 40.38194869358867, 116.61630610940784 40.38219770209148, 116.61624184886705 40.38245424455081, 116.61620304331656 40.382715850322505, 116.61619006647503 40.38298, 116.61620304331656 40.3832441496775, 116.61624184886705 40.3835057554492, 116.61630610940784 40.383762297908525, 116.6163952060748 40.38401130641134, 116.61650828081832 40.38425038286964, 116.61664424466682 40.38447722484644, 116.61680178821409 40.384689647729516, 116.61697939422965 40.38488560577036, 116.6171753522705 40.385063211785926, 116.61738777515356 40.385220755333194, 116.61761461713037 40.38535671918168, 116.61785369358867 40.3854697939252, 116.61810270209149 40.385558890592165, 116.6183592445508 40.38562315113296, 116.61862085032251 40.38566195668346, 116.618885 40.385674933524975, 116.6191491496775 40.38566195668346, 116.61941075544921 40.38562315113296, 116.61966729790852 40.385558890592165, 116.61991630641134 40.3854697939252, 116.62015538286964 40.38535671918168, 116.62038222484645 40.385220755333194, 116.62059464772952 40.385063211785926, 116.62079060577037 40.38488560577036, 116.62096821178592 40.384689647729516, 116.6211257553332 40.38447722484644, 116.62126171918169 40.38425038286964, 116.62137479392521 40.38401130641134, 116.62146389059217 40.383762297908525, 116.62152815113296 40.3835057554492, 116.62156695668345 40.3832441496775, 116.62157993352498 40.38298))",300.0
北京市房山区云居寺景区,4A,CONSTRUCTED,"POLYGON ((115.77098893352498 39.607877, 115.77097595668344 39.607612850322504, 115.77093715113296 39.607351244550806, 115.77087289059216 39.60709470209148, 115.7707837939252 39.60684569358867, 115.77067071918168 39.60660661713037, 115.77053475533319 39.60637977515356, 115.77037721178591 39.60616735227049, 115.77019960577036 39.60597139422965, 115.77000364772951 39.60579378821408, 115.76979122484644 39.60563624466681, 115.76956438286963 39.605500280818326, 115.76932530641133 39.6053872060748, 115.76907629790851 39.60529810940784, 115.7688197554492 39.605233848867044, 115.76855814967749 39.60519504331655, 115.768294 39.60518206647503, 115.7680298503225 39.60519504331655, 115.7677682445508 39.605233848867044, 115.76751170209148 39.60529810940784, 115.76726269358866 39.6053872060748, 115.76702361713036 39.605500280818326, 115.76679677515355 39.60563624466681, 115.76658435227048 39.60579378821408, 115.76638839422964 39.60597139422965, 115.76621078821408 39.60616735227049, 115.76605324466681 39.60637977515356, 115.76591728081831 39.60660661713037, 115.76580420607479 39.60684569358867, 115.76571510940784 39.60709470209148, 115.76565084886704 39.607351244550806, 115.76561204331655 39.607612850322504, 115.76559906647502 39.607877, 115.76561204331655 39.6081411496775, 115.76565084886704 39.6084027554492, 115.76571510940784 39.608659297908524, 115.76580420607479 39.60890830641134, 115.76591728081831 39.60914738286964, 115.76605324466681 39.60937422484644, 115.76621078821408 39.609586647729515, 115.76638839422964 39.609782605770356, 115.76658435227048 39.609960211785925, 115.76679677515355 39.61011775533319, 115.76702361713036 39.61025371918168, 115.76726269358866 39.6103667939252, 115.76751170209148 39.61045589059216, 115.7677682445508 39.61052015113296, 115.7680298503225 39.610558956683455, 115.768294 39.61057193352497, 115.76855814967749 39.610558956683455, 115.7688197554492 39.61052015113296, 115.76907629790851 39.61045589059216, 115.76932530641133 39.6103667939252, 115.76956438286963 39.61025371918168, 115.76979122484644 39.61011775533319, 115.77000364772951 39.609960211785925, 115.77019960577036 39.609782605770356, 115.77037721178591 39.609586647729515, 115.77053475533319 39.60937422484644, 115.77067071918168 39.60914738286964, 115.7707837939252 39.60890830641134, 115.77087289059216 39.608659297908524, 115.77093715113296 39.6084027554492, 115.77097595668344 39.6081411496775, 115.77098893352498 39.607877))",300.0
北京市房山区周口店遗址景区,4A,NOT_FOUND,,
